uf,localidade,faixa_inicio,faixa_fim,situacao,tipo_faixa
MA,Gonçalves Dias,65775-000,65779-999,Não codificada por logradouros,Total do município
MA,Governador Archer,65770-000,65774-999,Não codificada por logradouros,Total do município
MA,Governador Edison Lobão,65928-000,65928-999,Não codificada por logradouros,Total do município
MA,Governador Eugênio Barros,65780-000,65782-999,Não codificada por logradouros,Total do município
MA,Governador Luiz Rocha,65795-000,65799-999,Não codificada por logradouros,Total do município
MA,Governador Newton Bello,65363-000,65364-999,Não codificada por logradouros,Total do município
MA,Governador Nunes Freire,65284-000,65284-999,Não codificada por logradouros,Total do município
MA,Graça Aranha,65785-000,65789-999,Não codificada por logradouros,Total do município
MA,Grajaú,65940-000,65942-999,Não codificada por logradouros,Total do município
MA,Guimarães,65255-000,65259-999,Não codificada por logradouros,Total do município
MA,Humberto de Campos,65180-000,65189-999,Não codificada por logradouros,Total do município
MA,Icatu,65170-000,65179-999,Não codificada por logradouros,Total do município
MA,Igarapé do Meio,65345-000,65349-999,Não codificada por logradouros,Total do município
MA,Igarapé Grande,65720-000,65722-999,Não codificada por logradouros,Total do município
MA,Imperatriz,65900-000,65919-999,Codificado por logradouros,Total do município
MA,Imperatriz,65900-001,65919-999,Codificada por logradouros,Exclusiva da sede urbana
MA,Itaipava do Grajaú,65948-000,65949-999,Não codificada por logradouros,Total do município
MA,Itapecuru Mirim,65485-000,65489-999,Não codificada por logradouros,Total do município
MA,Itinga do Maranhão,65939-000,65939-999,Não codificada por logradouros,Total do município
MA,Jatobá,65693-000,65694-999,Não codificada por logradouros,Total do município
MA,Jenipapo dos Vieiras,65962-000,65963-999,Não codificada por logradouros,Total do município
MA,João Lisboa,65922-000,65922-999,Não codificada por logradouros,Total do município
MA,Joselândia,65755-000,65757-999,Não codificada por logradouros,Total do município
MA,Junco do Maranhão,65294-000,65294-999,Não codificada por logradouros,Total do município
MA,Lago da Pedra,65715-000,65715-999,Não codificada por logradouros,Total do município
MA,Lago do Junco,65710-000,65711-999,Não codificada por logradouros,Total do município
MA,Lago dos Rodrigues,65712-000,65713-999,Não codificada por logradouros,Total do município
MA,Lago Verde,65705-000,65705-999,Não codificada por logradouros,Total do município
MA,Lagoa do Mato,65683-000,65684-999,Não codificada por logradouros,Total do município
MA,Lagoa Grande do Maranhão,65718-000,65719-999,Não codificada por logradouros,Total do município
MA,Lajeado Novo,65937-000,65937-999,Não codificada por logradouros,Total do município
MA,Lima Campos,65728-000,65729-999,Não codificada por logradouros,Total do município
MA,Loreto,65895-000,65899-999,Não codificada por logradouros,Total do município
MA,Luís Domingues,65290-000,65291-999,Não codificada por logradouros,Total do município
MA,Magalhães de Almeida,65560-000,65569-999,Não codificada por logradouros,Total do município
MA,Maracaçumé,65289-000,65289-999,Não codificada por logradouros,Total do município
MA,Marajá do Sena,65714-000,65714-999,Não codificada por logradouros,Total do município
MA,Maranhãozinho,65283-000,65283-999,Não codificada por logradouros,Total do município
MA,Mata Roma,65510-000,65514-999,Não codificada por logradouros,Total do município
MA,Matinha,65218-000,65219-999,Não codificada por logradouros,Total do município
MA,Matões,65645-000,65649-999,Não codificada por logradouros,Total do município
MA,Matões do Norte,65468-000,65469-999,Não codificada por logradouros,Total do município
MA,Milagres do Maranhão,65545-000,65549-999,Não codificada por logradouros,Total do município
MA,Mirador,65850-000,65859-999,Não codificada por logradouros,Total do município
MA,Miranda do Norte,65495-000,65499-999,Não codificada por logradouros,Total do município
MA,Mirinzal,65265-000,65266-999,Não codificada por logradouros,Total do município
MA,Monção,65360-000,65362-999,Não codificada por logradouros,Total do município
MA,Montes Altos,65936-000,65936-999,Não codificada por logradouros,Total do município
MA,Morros,65160-000,65164-999,Não codificada por logradouros,Total do município
MA,Nina Rodrigues,65450-000,65454-999,Não codificada por logradouros,Total do município
MA,Nova Colinas,65808-000,65809-999,Não codificada por logradouros,Total do município
MA,Nova Iorque,65880-000,65884-999,Não codificada por logradouros,Total do município
MA,Nova Olinda do Maranhão,65274-000,65274-999,Não codificada por logradouros,Total do município
MA,Olho D'Água das Cunhãs,65706-000,65706-999,Não codificada por logradouros,Total do município
MA,Olinda Nova do Maranhão,65223-000,65224-999,Não codificada por logradouros,Total do município
MA,Paço do Lumiar,65130-000,65137-999,Não codificada por logradouros,Total do município
MA,Palmeirândia,65238-000,65244-999,Não codificada por logradouros,Total do município
MA,Paraibano,65670-000,65679-999,Não codificada por logradouros,Total do município
MA,Parnarama,65640-000,65644-999,Não codificada por logradouros,Total do município
MA,Passagem Franca,65680-000,65682-999,Não codificada por logradouros,Total do município
MA,Pastos Bons,65870-000,65879-999,Não codificada por logradouros,Total do município
MA,Paulino Neves,65585-000,65589-999,Não codificada por logradouros,Total do município
MA,Paulo Ramos,65716-000,65717-999,Não codificada por logradouros,Total do município
MA,Pedreiras,65725-000,65726-999,Não codificada por logradouros,Total do município
MA,Pedro do Rosário,65206-000,65207-999,Não codificada por logradouros,Total do município
MA,Penalva,65213-000,65214-999,Não codificada por logradouros,Total do município
MA,Peri Mirim,65245-000,65247-999,Não codificada por logradouros,Total do município
MA,Peritoró,65418-000,65419-999,Não codificada por logradouros,Total do município
MA,Pindaré Mirim,65370-000,65377-999,Não codificada por logradouros,Total do município
MA,Pinheiro,65200-000,65203-999,Não codificada por logradouros,Total do município
MA,Pio XII,65707-000,65707-999,Em codificação por logradouros,Total do município
MA,Pio XII,65707-001,65707-999,Em codificação por logradouros,Exclusiva da sede urbana
MA,Pirapemas,65460-000,65464-999,Não codificada por logradouros,Total do município
MA,Poção de Pedras,65740-000,65749-999,Não codificada por logradouros,Total do município
MA,Porto Franco,65970-000,65972-999,Não codificada por logradouros,Total do município
MA,Porto Rico do Maranhão,65263-000,65264-999,Não codificada por logradouros,Total do município
MA,Presidente Dutra,65760-000,65761-999,Não codificada por logradouros,Total do município
MA,Presidente Juscelino,65140-000,65142-999,Não codificada por logradouros,Total do município
MA,Presidente Médici,65279-000,65279-999,Não codificada por logradouros,Total do município
MA,Presidente Sarney,65204-000,65205-999,Não codificada por logradouros,Total do município
MA,Presidente Vargas,65455-000,65459-999,Não codificada por logradouros,Total do município
MA,Primeira Cruz,65190-000,65194-999,Não codificada por logradouros,Total do município
MA,Raposa,65138-000,65139-999,Não codificada por logradouros,Total do município
MA,Riachão,65990-000,65994-999,Não codificada por logradouros,Total do município
MA,Ribamar Fiquene,65938-000,65938-999,Não codificada por logradouros,Total do município
MA,Rosário,65150-000,65152-999,Não codificada por logradouros,Total do município
MA,Sambaíba,65830-000,65839-999,Não codificada por logradouros,Total do município
MA,Santa Filomena do Maranhão,65768-000,65769-999,Não codificada por logradouros,Total do município
MA,Santa Helena,65208-000,65209-999,Não codificada por logradouros,Total do município
MA,Santa Inês,65300-000,65309-999,Codificado por logradouros,Total do município
MA,Santa Inês,65300-001,65309-999,Codificada por logradouros,Exclusiva da sede urbana
